Basket Source,Basket Title,Course Code,Course Title,Course Type,Credits,Compulsory Course
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2039,APSSDC-IES - Data Science,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2040,Boston IT Solutions - Deep Learning,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2041,Boston IT Solutions - Machine Learning,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2042,Boston IT Solutions - Python for Artificial Intelligence,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2043,Boston IT Solutions - Data Analysis with SQL,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2044,Boston IT Solutions - Fundamentals of Computer Vision,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2045,Boston IT Solutions - Fundamentals of Natural Language Processing,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2046,INC2046,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2047,PAANCA - Cybersecurity Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2048,PAANCA - Network Security Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2049,PAANCA - Cloud Security Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2050,PAANCA - Security Operations Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2051,PAANCA - Enterprise Security Deployment,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2052,PAANCA - Enterprise Security Management,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2053,PAANCA - Cloud Security Deployment,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2054,PAANCA - Security Operations,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2055,PAANCA - Data Science,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2056,Ethical Hacking Essentials,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2057,Digital Forensics Essentials,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2058,Network Defense Essentials,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2059,Salesforce Developer,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2060,Adobe UX & UI,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2061,MongoDB Associate Database Administrator,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2062,High Performance Coding - Advanced Data Structures & Algorithms using Java,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2063,Design of Process Plant Equipment and Industrial Piping Systems,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2064,Distributed CoughDB - CoughBase,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2065,Embedded System Design Internship,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2066,DP 900 - Microsoft Azure Data Fundamentals Exam,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2067,Oracle Database Foundation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2068,Selenium Certiﬁcation Training Course in collab with PWC,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2069,Artificial Intelligence using Google TensorFlow in collab with Google,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2070,Generative AI Applications using Vertex AI in Collaboration with Google,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2071,Full Stack Developer (MERN) with MongoDB Associate Developer Certification,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2072,AI 900- Microsoft Azure AI Fundamentals Exam,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2073,NASSCOM - Pragmatic Approach to Cyber Security,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC2074,Cyber Security & Ethical Hacking-SmartBridge,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3001,Full stack Development with MERN,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3002,Data Science & Business Analytics,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3003,Embedded Systems and IoT,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3004,Data Analytics & Big Data Fundamentals,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3005,Cyber Security and Ethical Hacking,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3006,UI/UX Developer,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3007,Devops,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3008,Gen AI and Chat GPT,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3009,Blockchain Specialization,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3010,Robotics Process Automation,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3011,Cloud Computing,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3012,"Digital Marketing, Performance Optimization & CRM Tools",PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3013,AI for Management Graduates: Leveraging Artificial Intelligence in Business,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3014,Project Management and Collaboration,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3015,Product Management,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3016,The Art of Storytelling for Beginners,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3017,Supply Chain Management,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3018,Brand Management,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3019,Business Valuation Techniques,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3020,Investment Banking Operations and Management,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3021,Prompt Engineering,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3022,Generative AI,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3023,Quantum computing,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,INC3024,AutoML,PJT,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,MAT2003,Optimization Techniques,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,MEC1006,Introduction to Robotics,TH,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,MEC2016,Robot Kinematics and Dynamics,ETL,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL1005,Principles of Programming,TH,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL1023,"Cognition, Transformation and Lives",OC,1,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL1038,Data Analytics with Python,OC,3,
